country,value
Croatia,49.0
Italy,48.5
Spain,46.5
Greece,39.6
Estonia,37.8
Austria,35.7
All countries,33.4
France,28.5
Luxembourg,27.1
Switzerland,26.7
Germany,22.6
Belgium,22.1
Denmark,8.7
